ra,ano_base,ano_alvo,nome,fase_num,idade,genero,ano_ingresso,inde,pedra,defasagem,iaa,ieg,ips,ipp,ida,ipv,ian,mat,por,ing,defasagem_next,inde_next,ian_next,pedra_next,y_risco,y_piora_defasagem,y_queda_inde,features_ausentes
RA-1,2022,2023,Aluno-1,7.0,19.0,F,2016,5.783,Quartzo,-1,8.3,4.1,5.6,,4.0,7.278,5.0,2.7,3.5,6.0,0,,10.0,,0,0,0,False
RA-1,2023,2024,Aluno-1,8.0,,F,2016,,,0,,,,,,,10.0,,,,0,,10.0,,0,0,0,False
RA-1000,2023,2024,Aluno-1000,0.0,8.0,F,2023,7.9162,Ametista,0,8.5,9.4,3.77,6.25,7.0,8.92,10.0,7.0,7.0,,0,8.364790909100002,10.0,Topázio,0,0,0,False
RA-1001,2023,2024,Aluno-1001,0.0,9.0,F,2023,8.1162,Topázio,-1,9.0,9.1,7.52,7.5,7.8,9.17,5.0,8.3,7.3,,-1,7.7964318841,5.0,Ametista,1,0,1,False
RA-1002,2023,2024,Aluno-1002,0.0,9.0,F,2023,7.9012,Ametista,-1,9.0,9.7,7.52,6.25,7.0,8.92,5.0,7.0,7.0,,-1,7.967866666700001,5.0,Ametista,1,0,0,False
RA-1003,2023,2024,Aluno-1003,0.0,8.0,M,2023,7.6522,Ametista,0,9.0,8.5,7.52,7.5,4.0,8.75,10.0,8.0,0.0,,-1,7.627588888900001,5.0,Ametista,1,1,1,False
RA-1004,2023,2024,Aluno-1004,0.0,8.0,F,2023,8.3137,Topázio,0,9.0,9.6,7.52,6.875,7.9,7.42,10.0,6.5,9.2,,-1,7.801200000000001,5.0,Ametista,1,1,1,False
RA-1006,2023,2024,Aluno-1006,0.0,8.0,F,2023,8.5922,Topázio,0,9.0,9.3,7.52,7.5,8.7,8.0,10.0,8.7,8.6,,-1,7.040088888900001,5.0,Ametista,1,1,1,False
RA-1008,2023,2024,Aluno-1008,0.0,8.0,M,2023,8.13595,Topázio,0,9.0,8.6,7.52,5.9375,8.4,7.5,10.0,7.5,9.2,,-1,6.8667414438000005,5.0,Ágata,1,1,1,False
RA-1009,2023,2024,Aluno-1009,0.0,8.0,M,2023,7.245,Ametista,0,0.0,9.0,3.77,7.5,8.8,7.84,10.0,8.3,9.2,,-1,6.395389393900001,5.0,Ágata,1,1,1,False
RA-1012,2023,2024,Aluno-1012,0.0,8.0,F,2023,7.96495,Ametista,0,10.0,9.9,3.77,7.1875,6.6,7.845,10.0,7.0,6.2,,-1,8.057128571400002,5.0,Topázio,1,1,0,False
RA-1013,2023,2024,Aluno-1013,0.0,7.0,M,2023,7.6237,Ametista,0,9.0,9.6,4.39,5.625,8.3,5.76,10.0,7.0,9.5,,-1,5.7839559808,5.0,Quartzo,1,1,1,False
RA-1014,2023,2024,Aluno-1014,0.0,,F,2023,8.2582,Topázio,0,9.0,9.7,3.77,7.5,8.2,8.255,10.0,7.7,8.7,,-1,6.315972727300001,5.0,Ágata,1,1,1,False
RA-1015,2023,2024,Aluno-1015,1.0,10.0,F,2023,7.538908333,Ametista,-1,10.0,9.3,6.27,7.34375,6.3,7.786666667,5.0,5.0,7.6,,0,6.643252381000002,10.0,Ágata,0,0,1,False
